district,week,year,cases
Anuradhapura,9,2020,18
Badulla,9,2020,15
Batticaloa,9,2020,117
Colombo,9,2020,174
Galle,9,2020,17
Gampaha,9,2020,85
Hambantota,9,2020,14
Jaffna,9,2020,79
Kalmunai,9,2020,0
Kalutara,9,2020,0
Kandy,9,2020,53
Kegalle,9,2020,17
Kilinochchi,9,2020,3
Kurunegala,9,2020,26
Mannar,9,2020,8
Matale,9,2020,25
Matara,9,2020,16
Monaragala,9,2020,0
Mullaitivu,9,2020,2
Nuwara Eliya,9,2020,1
Polonnaruwa,9,2020,7
Puttalam,9,2020,0
Ratnapura,9,2020,21
Trincomalee,9,2020,57
Vavuniya,9,2020,193
Ampara,10,2020,17
Anuradhapura,10,2020,10
Badulla,10,2020,6
Batticaloa,10,2020,66
Colombo,10,2020,69
Galle,10,2020,18
Gampaha,10,2020,27
Hambantota,10,2020,1
Jaffna,10,2020,30
Kalmunai,10,2020,0
Kalutara,10,2020,0
Kandy,10,2020,17
Kegalle,10,2020,17
Kilinochchi,10,2020,2
Kurunegala,10,2020,6
Mannar,10,2020,0
Matale,10,2020,13
Matara,10,2020,10
Monaragala,10,2020,0
Mullaitivu,10,2020,1
Nuwara Eliya,10,2020,1
Polonnaruwa,10,2020,4
Puttalam,10,2020,0
Ratnapura,10,2020,18
Trincomalee,10,2020,39
Vavuniya,10,2020,0
Ampara,11,2020,12
Anuradhapura,11,2020,10
Badulla,11,2020,6
Batticaloa,11,2020,73
Colombo,11,2020,133
Galle,11,2020,6
Gampaha,11,2020,62
Hambantota,11,2020,6
Jaffna,11,2020,55
Kalmunai,11,2020,0
Kalutara,11,2020,0
Kandy,11,2020,53
Kegalle,11,2020,11
Kilinochchi,11,2020,0
Kurunegala,11,2020,20
Mannar,11,2020,0
Matale,11,2020,11
Matara,11,2020,4
Monaragala,11,2020,0
Mullaitivu,11,2020,1
Nuwara Eliya,11,2020,2
Polonnaruwa,11,2020,8
Puttalam,11,2020,0
Ratnapura,11,2020,21
Trincomalee,11,2020,58
Vavuniya,11,2020,7
Ampara,12,2020,0
Anuradhapura,12,2020,7
Badulla,12,2020,3
Batticaloa,12,2020,37
Colombo,12,2020,34
Galle,12,2020,0
Gampaha,12,2020,9
Hambantota,12,2020,2
Jaffna,12,2020,13
Kalmunai,12,2020,0
Kalutara,12,2020,0
Kandy,12,2020,29
Kegalle,12,2020,2
Kilinochchi,12,2020,0
Kurunegala,12,2020,2
Mannar,12,2020,0
Matale,12,2020,18
Matara,12,2020,2
Monaragala,12,2020,0
Mullaitivu,12,2020,0
Nuwara Eliya,12,2020,2
Polonnaruwa,12,2020,1
Puttalam,12,2020,0
Ratnapura,12,2020,13
Trincomalee,12,2020,15
Vavuniya,12,2020,2
Ampara,13,2020,5
Anuradhapura,13,2020,8
Badulla,13,2020,1
Batticaloa,13,2020,26
Colombo,13,2020,19
Galle,13,2020,2
Gampaha,13,2020,14
Hambantota,13,2020,2
Jaffna,13,2020,2
Kalmunai,13,2020,0
Kalutara,13,2020,0
